column0,column1,,column2,column3,column4,column5,,column6,column7,
reg no,Name,class,department,Mark1,Mark2,Mark3,Empty,Mark4,Mark5,mark 6
1,Aisha Khan,A,CSE,70,70,56.9,30,90,90,90
2,Rohan Mehta,B,ECE,84,70,good,30,90,90,90
3,Priya Sharma,A,EEE,TRUE,71,59.83333333,30,90,90,90
4,Daniel Joseph,B,ME,69,72,62.33333333,30,90,90,90
5,Sneha Patel,A,CSE,,73,64.83333333,80,80,80,80
6,Arjun Rao,B,IT,89,74,67.33333333,80,80,80,80
7,Fatima Noor,A,ECE,89,75,69.83333333,80,80,80,80
8,Karan Singh,B,ME,89,76,72.33333333,80,80,80,80
9,Meera Das,A,CSE,89,77,74.83333333,80,80,80,80
10,,B,EEE,89,78,77.33333333,80,80,80,80
11,Anjali Verma,A,IT,89,81,83,80,82,84,84
12,Vikram Nair,B,ECE,89,77,76,80,75,74,74
13,,A,CSE,89,89,88,80,87,86,86
14,Nikhil Jain,B,ME,89,66,68,80,,69,69
15,Sara Thomas,A,EEE,89,87,86,80,85,84,84
16,Manish Kapoor,B,CSE,0,84,85,80,86,87,87
17,Neha Sinha,A,IT,74,73,72,80,71,70,70
18,Rahul Roy,B,ECE,79,80,81,80,82,83,83
19,Tanya Paul,A,ME,88,86,85,80,84,83,83
16,Manish Kapoor,B,CSE,0,84,57,80,86,87,87
